No.,Title,Artist
1,"""We Belong Together""",Mariah Carey
2,"""Hollaback Girl""",Gwen Stefani
3,"""Let Me Love You""",Mario
4,"""Since U Been Gone""",Kelly Clarkson
5,"""1, 2 Step""",Ciara featuring Missy Elliott
6,"""Gold Digger""",Kanye West featuring Jamie Foxx
7,"""Boulevard of Broken Dreams""",Green Day
8,"""Candy Shop""",50 Cent featuring Olivia
9,"""Don't Cha""",The Pussycat Dolls featuring Busta Rhymes
10,"""Behind These Hazel Eyes""",Kelly Clarkson
11,"""Disco Inferno""",50 Cent
12,"""You and Me""",Lifehouse
13,"""Don't Phunk with My Heart""",The Black Eyed Peas
14,"""Lose Control""",Missy Elliott featuring Ciara and Fatman Scoop
15,"""Shake It Off""",Mariah Carey
16,"""Mr. Brightside""",The Killers
17,"""Just a Lil Bit""",50 Cent
18,"""Pon de Replay""",Rihanna
19,"""How We Do""",The Game featuring 50 Cent
20,"""Beverly Hills""",Weezer
21,"""Oh""",Ciara featuring Ludacris
22,"""Lonely No More""",Rob Thomas
23,"""Drop It Like It's Hot""",Snoop Dogg featuring Pharrell